epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.547,1.44974,2.81532,1.35813,0.61237,0.34478,0.39361,0.22165,1.57986,2.90156,1.45596,0.000472003,0.000472003,0.000472003
2,797.95,1.53908,2.22452,1.38555,0.45407,0.3085,0.31052,0.15155,1.70051,2.55975,1.68502,0.000901394,0.000901394,0.000901394
3,1195.82,1.58635,2.07011,1.43318,0.52163,0.39044,0.39462,0.22403,1.62311,2.1456,1.48349,0.00128363,0.00128363,0.00128363
4,1592.71,1.56748,1.84294,1.4129,0.54563,0.44098,0.45403,0.26973,1.49751,1.93698,1.42964,0.00121679,0.00121679,0.00121679
5,1984.54,1.5366,1.68279,1.40398,0.54469,0.41868,0.45467,0.27791,1.56082,1.78419,1.46542,0.00114606,0.00114606,0.00114606
6,2377.64,1.49818,1.58471,1.36318,0.67668,0.45976,0.50139,0.30145,1.51082,1.63775,1.39049,0.00107532,0.00107532,0.00107532
7,2772.18,1.46525,1.52407,1.33668,0.45122,0.49951,0.4019,0.22856,1.46095,2.75279,1.41089,0.00100459,0.00100459,0.00100459
8,3165.38,1.4028,1.41273,1.30916,0.63889,0.4686,0.53137,0.33111,1.41032,1.52116,1.32747,0.000933851,0.000933851,0.000933851
9,3559.99,1.38305,1.334,1.29255,0.6589,0.52408,0.5614,0.35047,1.38739,1.39555,1.30446,0.000863116,0.000863116,0.000863116
10,3952.61,1.36587,1.28967,1.27927,0.74119,0.55027,0.6181,0.37276,1.35866,1.29447,1.28923,0.00079238,0.00079238,0.00079238
